Numb , Average
1100 , 13026
1200 , 14354
1300 , 15821
1400 , 17226
1500 , 18809
1600 , 20189
1700 , 21747
1800 , 23033
1900 , 24553
2000 , 26154
2100 , 27428
2200 , 28990
2300 , 30435
2400 , 32200
2500 , 33516
2600 , 35413
2700 , 36353
2800 , 38480
2900 , 39884
3000 , 41588
3100 , 42736
3200 , 44438
3300 , 46315
3400 , 47938
3500 , 49784
3600 , 50904
3700 , 52434
3800 , 54519
3900 , 56093
4000 , 57959
4100 , 59360
4200 , 61098
4300 , 62641
4400 , 63894
4500 , 65954
4600 , 68335
4700 , 69405
4800 , 70972
4900 , 72290
5000 , 74115
5100 , 76221
5200 , 77551
5300 , 79329
5400 , 80342
5500 , 83213
5600 , 84903
5700 , 86467
5800 , 87707
5900 , 89780
6000 , 91801
6100 , 92846
6200 , 95025
6300 , 96777
6400 , 98030
6500 , 100481
6600 , 102184
6700 , 103889
6800 , 105828
6900 , 106689
7000 , 109170
7100 , 110603
7200 , 112510
7300 , 114275
7400 , 115334
7500 , 118437
7600 , 119178
7700 , 120982
7800 , 121611
7900 , 124804
8000 , 125788
8100 , 127782
8200 , 129266
8300 , 131962
8400 , 133409
8500 , 134424
8600 , 136596
8700 , 138698
8800 , 141536
8900 , 142842
9000 , 145008
9100 , 146598
9200 , 148432
9300 , 150192
9400 , 152282
9500 , 153397
9600 , 155065
9700 , 156792
9800 , 158061
9900 , 160584
10000 , 162507
